Id,consent,SII_1,SII_1_other,SII_1_reason,SII_2,SII_2_unit,SII_2_unit_other,SII_3_1,SII_3_2,SII_3_2_other,SII_3_1_sub,SII_3_2_sub,SII_4_1,SII_4_2,SII_4_2_other,LoginDate,LoginStartTime,LoginEndTime,LoginDate_Last,LoginStartTime_Last,LoginEndTime_Last,SII_5,SII_6_1_UREA,SII_6_2_UREA,SII_6_3_UREA,SII_6_3_other_UREA,SII_6_4_UREA,SII_6_4_other_UREA,SII_7_1_UREA,SII_7_2_UREA,SII_7_3_UREA,SII_6_1_DAP,SII_6_2_DAP,SII_6_3_DAP,SII_6_3_other_DAP,SII_6_4_DAP,SII_6_4_other_DAP,SII_7_1_DAP,SII_7_2_DAP,SII_7_3_DAP,SII_6_1_MOP,SII_6_2_MOP,SII_6_3_MOP,SII_6_3_other_MOP,SII_6_4_MOP,SII_6_4_other_MOP,SII_7_1_MOP,SII_7_2_MOP,SII_7_3_MOP,SII_6_1_ZINC,SII_6_2_ZINC,SII_6_3_ZINC,SII_6_3_other_ZINC,SII_6_4_ZINC,SII_6_4_other_ZINC,SII_7_1_ZINC,SII_7_2_ZINC,SII_7_3_ZINC,SII_6_1_NPK,SII_6_2_NPK,SII_6_3_NPK,SII_6_3_other_NPK,SII_6_4_NPK,SII_6_4_other_NPK,SII_7_1_NPK,SII_7_2_NPK,SII_7_3_NPK,FKT_1,FKT_2,FKT_3
B01V03F0088,1,1,,,45,1,,5,1,,0,,0,,,16-8-2018,15:49:56,15:51:41,,,,1,0,,,,,,,,,1,1,5,,3,,1,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1,5,
B01V03F0089,1,1,,,1,2,,30,1,,0,,1,1,,17-8-2018,11:28:8,11:29:22,,,,1,0,,,,,,,,,1,14,5,,3,,1,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1,5,
B01V03F0090,1,1,,,2,2,,18,1,,0,,1,1,,18-8-2018,12:18:32,12:20:3,20-8-2018,11:30:54,11:31:7,1,1,6,5,,2,,1,,,1,2,5,,3,,1,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1,5,
B01V03F0091,1,1,,,2,2,,3,1,,0,,1,3,,11-8-2018,10:2:56,10:6:53,,,,1,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1,2,5,,3,,1,,,1,5,
B01V03F0093,1,1,,,77,1,,2,2,,0,,1,2,,17-8-2018,16:41:29,16:47:55,,,,1,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1,3,
B01V03F0094,1,0,,VARSAD NATHI AETLE,,,,,,,,,,,,17-8-2018,16:34:44,16:34:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,
B01V03F0095,1,1,,,45,1,,15,1,,0,,1,2,,8-8-2018,16:50:29,16:51:21,,,,1,0,,,,,,,,,1,4,5,,2,,1,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1,3,
B01V03F0096,1,1,,,1,2,,3,2,,,,1,2,,7-8-2018,11:24:59,11:27:36,,,,1,0,,,,,,,,,1,135,5,,2,,1,,,1,15,1,,,,1,,,0,,,,,,,,,0,,,,,,,,,1,4,
B01V04F0097,1,1,,,30,1,,10,1,,0,,0,,,18-8-2018,11:3:36,11:4:51,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,
B01V04F0100,1,1,,,45,1,,1,2,,0,,1,1,,9-8-2018,16:0:10,16:1:2,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,
B01V04F0101,1,1,,,1,2,,4,1,,0,,1,2,,9-8-2018,15:37:10,15:38:46,,,,1,0,,,,,,,,,1,2,5,,3,,1,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1,3,
B01V04F0102,1,1,,,15,1,,2.5,1,,0,,0,,,10-8-2018,11:7:8,11:8:17,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,VARSHAD NATHI TO SU KARVU..KAI NATHI JANAVU..
B01V04F0103,1,1,,,30,1,,4,2,,0,,1,2,,9-8-2018,16:29:43,16:31:30,,,,1,0,,,,,,,,,1,4,5,,3,,1,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1,5,
B01V04F0104,1,1,,,45,1,,6,1,,0,,1,2,,8-8-2018,11:43:2,11:44:0,,,,1,0,,,,,,,,,1,150,1,,,,1,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1,1,NA
B01V04F0105,1,1,,,1,2,,1,2,,0,,1,2,,8-8-2018,11:14:10,11:14:39,8-8-2018,11:14:51,11:15:13,1,0,,,,,,,,,1,2,5,,3,,1,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1,5,
B01V04F0108,1,1,,,2,2,,6,2,,,,1,2,,7-8-2018,15:49:6,15:50:21,,,,1,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1,5,
B01V04F0109,1,1,,,45,1,,7.5,1,,0,,1,2,,18-8-2018,10:31:24,10:32:1,,,,1,0,,,,,,,,,1,3,5,,3,,1,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1,5,
B01V04F0110,1,1,,,35,1,,5,1,,0,,1,1,,18-8-2018,11:1:24,11:1:53,,,,1,0,,,,,,,,,1,2,5,,3,,1,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1,5,
B01V04F0112,1,1,,,45,1,,6,1,,0,,1,2,,16-8-2018,11:38:58,11:40:38,20-8-2018,11:13:8,11:13:27,1,1,1,5,,3,,1,,,1,1,5,,3,,1,,,1,1,5,,1,,1,,,0,,,,,,,,,0,,,,,,,,,1,5,
